policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay/model/control-plane,0.912956,0.000000,14,1.181291,0.000000,0.451198,1.237382,,,94.125462,127.500000,0.738239,0.000000
cga,CGA,0,0.000,replay/model/control-plane,0.912956,0.000000,14,1.181291,0.000000,0.451198,1.237382,,,91.025996,127.500000,0.713929,0.000000
hda,HDA,0,0.000,replay/model/control-plane,0.912956,0.000000,14,1.181291,0.000000,0.451198,1.237382,,,82.772183,127.500000,0.649194,0.000000
kubernetes-default,K8s default,1,5.000,replay/model/control-plane,0.925071,0.013097,14,1.181291,0.000000,0.451198,1.237382,,,95.811365,127.500000,0.751462,0.000000
cga,CGA,1,5.000,replay/model/control-plane,0.925071,0.013097,14,1.181291,0.000000,0.451198,1.237382,,,91.051996,127.500000,0.714133,0.000000
hda,HDA,1,5.000,replay/model/control-plane,0.925071,0.013097,14,1.181291,0.000000,0.451198,1.237382,,,86.395619,127.500000,0.677613,0.000000
kubernetes-default,K8s default,2,10.000,replay/model/control-plane,0.955195,0.031537,14,1.181291,0.000000,0.451198,1.237382,,,99.799921,127.500000,0.782744,0.000000
cga,CGA,2,10.000,replay/model/control-plane,0.955195,0.031537,14,1.181291,0.000000,0.451198,1.237382,,,92.047084,127.500000,0.721938,0.000000
hda,HDA,2,10.000,replay/model/control-plane,0.955195,0.031537,14,1.181291,0.000000,0.451198,1.237382,,,90.689221,127.500000,0.711288,0.000000
kubernetes-default,K8s default,3,15.000,replay/model/control-plane,0.986356,0.031591,14,1.181291,0.000000,0.451198,1.237382,,,100.444173,127.500000,0.787797,0.000000
cga,CGA,3,15.000,replay/model/control-plane,0.986356,0.031591,14,1.181291,0.000000,0.451198,1.237382,,,97.378845,127.500000,0.763756,0.000000
hda,HDA,3,15.000,replay/model/control-plane,0.986356,0.031591,14,1.181291,0.000000,0.451198,1.237382,,,87.374420,127.500000,0.685290,0.000000
kubernetes-default,K8s default,4,20.000,replay/model/control-plane,0.933872,0.053209,14,1.181291,0.000000,0.451198,1.237382,,,99.718336,127.500000,0.782105,0.000000
cga,CGA,4,20.000,replay/model/control-plane,0.933872,0.053209,14,1.181291,0.000000,0.451198,1.237382,,,93.097731,127.500000,0.730178,0.000000
hda,HDA,4,20.000,replay/model/control-plane,0.933872,0.053209,14,1.181291,0.000000,0.451198,1.237382,,,89.061984,127.500000,0.698525,0.000000
