service_count,repetition,mode,scenario,vertex_count,active_edges,graph_edges,replicas,scrape_interval_seconds,query_count,prometheus_query_latency_ms,graph_build_wall_ms,graph_build_cpu_ms,peak_python_memory_mib,dense_pairwise_enabled,dense_skipped_reason
50,0,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,2.133929,2.126137,0.118752,True,
50,0,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.265791,0.258144,0.000961,True,
50,1,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.266555,1.263309,0.116074,True,
50,1,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.254759,0.251902,0.000114,True,
50,2,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.16773,1.164604,0.101135,True,
50,2,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.229132,0.226865,0.000114,True,
50,3,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.307462,1.304416,0.115982,True,
50,3,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.298332,0.295234,0.000114,True,
50,4,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.853491,1.85067,0.101242,True,
50,4,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.258588,0.255719,0.000114,True,
50,5,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.18905,1.185864,0.116514,True,
50,5,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.227538,0.225292,0.000114,True,
50,6,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.432659,1.428239,0.101196,True,
50,6,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.381739,0.375935,0.000114,True,
100,0,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.703063,2.698199,0.240623,True,
100,0,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.926375,0.917731,0.000168,True,
100,1,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.56964,2.566052,0.240807,True,
100,1,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.918299,0.915296,0.000168,True,
100,2,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.437953,2.435016,0.240807,True,
