LAST SEEN   TYPE     REASON              OBJECT                                        MESSAGE
9s          Normal   Scheduled           pod/text-service-5b988979c4-kq29t             Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/text-service-5b988979c4-kq29t to emu-worker-8
12s         Normal   Scheduled           pod/compose-post-service-6995fd8cbb-t7j7x     Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/compose-post-service-6995fd8cbb-t7j7x to emu-worker-6
12s         Normal   Scheduled           pod/user-timeline-service-6c5ff546d6-59njs    Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/user-timeline-service-6c5ff546d6-59njs to emu-worker-7
10s         Normal   Scheduled           pod/user-service-69b6bbfc8b-hpgwg             Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/user-service-69b6bbfc8b-hpgwg to emu-worker-7
9s          Normal   Scheduled           pod/unique-id-service-675c45cf5d-8b2n5        Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/unique-id-service-675c45cf5d-8b2n5 to emu-worker-8
12s         Normal   Scheduled           pod/nginx-thrift-d5b775df9-bglgf              Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/nginx-thrift-d5b775df9-bglgf to emu-worker-9
12s         Normal   Scheduled           pod/home-timeline-service-6576757994-tfhvm    Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/home-timeline-service-6576757994-tfhvm to emu-worker-6
8s          Normal   Scheduled           pod/media-service-768784c49b-c87f7            Successfully assigned live-tc-social-scale10-20260523t180124z-policy4/media-service-768784c49b-c87f7 to emu-worker-1
12s         Normal   SuccessfulCreate    replicaset/home-timeline-service-6576757994   Created pod: home-timeline-service-6576757994-tfhvm
12s         Normal   ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-6995fd8cbb from 0 to 1
12s         Normal   ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-d5b775df9 from 0 to 1
12s         Normal   ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-6576757994 from 0 to 1
12s         Normal   ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-6c5ff546d6 from 0 to 1
12s         Normal   SuccessfulCreate    replicaset/user-timeline-service-6c5ff546d6   Created pod: user-timeline-service-6c5ff546d6-59njs
