LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
7s          Normal    Scheduled           pod/media-service-6c945476d8-f82sb            Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/media-service-6c945476d8-f82sb to emu-worker-8
8s          Normal    Scheduled           pod/user-timeline-service-645cbbd96d-mhrs6    Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/user-timeline-service-645cbbd96d-mhrs6 to emu-worker-4
8s          Normal    Scheduled           pod/user-service-67579c5cd8-2nwt5             Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/user-service-67579c5cd8-2nwt5 to emu-worker-9
7s          Normal    Scheduled           pod/unique-id-service-5cd788bfb8-s7ncv        Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/unique-id-service-5cd788bfb8-s7ncv to emu-worker-8
8s          Normal    Scheduled           pod/text-service-b6bbbc8d4-zpcpk              Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/text-service-b6bbbc8d4-zpcpk to emu-worker-4
10s         Normal    Scheduled           pod/compose-post-service-6cf8795f44-btqbk     Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/compose-post-service-6cf8795f44-btqbk to emu-worker-9
8s          Normal    Scheduled           pod/home-timeline-service-69f988f7b-g8rdm     Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/home-timeline-service-69f988f7b-g8rdm to emu-worker-7
10s         Normal    Scheduled           pod/nginx-thrift-8648dd4644-4748b             Successfully assigned live-tc-social-scale20-20260603t073456z-kubernetes-rep3/nginx-thrift-8648dd4644-4748b to emu-worker-10
11s         Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-8648dd4644 from 0 to 1
10s         Normal    SuccessfulCreate    replicaset/nginx-thrift-8648dd4644            Created pod: nginx-thrift-8648dd4644-4748b
10s         Normal    SuccessfulCreate    replicaset/compose-post-service-6cf8795f44    Created pod: compose-post-service-6cf8795f44-btqbk
10s         Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-6cf8795f44 from 0 to 1
9s          Normal    SuccessfulCreate    replicaset/home-timeline-service-69f988f7b    Created pod: home-timeline-service-69f988f7b-g8rdm
9s          Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-69f988f7b from 0 to 1
