LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
9s          Normal    Scheduled           pod/media-service-58b99b67c5-hbsqg            Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/media-service-58b99b67c5-hbsqg to emu-worker-1
9s          Normal    Scheduled           pod/user-timeline-service-74599c8b85-grk6x    Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/user-timeline-service-74599c8b85-grk6x to emu-worker-7
9s          Normal    Scheduled           pod/user-service-f49cb54d5-v7qx6              Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/user-service-f49cb54d5-v7qx6 to emu-worker-7
9s          Normal    Scheduled           pod/unique-id-service-7db7c754b5-khlhg        Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/unique-id-service-7db7c754b5-khlhg to emu-worker-6
9s          Normal    Scheduled           pod/text-service-8484df7957-wrt6c             Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/text-service-8484df7957-wrt6c to emu-worker-6
9s          Normal    Scheduled           pod/compose-post-service-65c877b5d5-lkz4g     Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/compose-post-service-65c877b5d5-lkz4g to emu-worker-10
9s          Normal    Scheduled           pod/nginx-thrift-54688f855b-hgd6d             Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/nginx-thrift-54688f855b-hgd6d to emu-worker-2
9s          Normal    Scheduled           pod/home-timeline-service-94b8d6d65-vfxcn     Successfully assigned live-tc-social-scale20-20260603t073456z-policy4-rep1/home-timeline-service-94b8d6d65-vfxcn to emu-worker-10
9s          Normal    SuccessfulCreate    replicaset/nginx-thrift-54688f855b            Created pod: nginx-thrift-54688f855b-hgd6d
9s          Normal    Started             pod/text-service-8484df7957-wrt6c             Container started
9s          Normal    Started             pod/home-timeline-service-94b8d6d65-vfxcn     Container started
9s          Normal    ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-74599c8b85 from 0 to 1
9s          Normal    SuccessfulCreate    replicaset/home-timeline-service-94b8d6d65    Created pod: home-timeline-service-94b8d6d65-vfxcn
9s          Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-94b8d6d65 from 0 to 1
9s          Normal    Pulled              pod/home-timeline-service-94b8d6d65-vfxcn     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    SuccessfulCreate    replicaset/user-timeline-service-74599c8b85   Created pod: user-timeline-service-74599c8b85-grk6x
9s          Normal    Started             pod/user-timeline-service-74599c8b85-grk6x    Container started
9s          Normal    Created             pod/user-timeline-service-74599c8b85-grk6x    Container created
9s          Normal    SuccessfulCreate    replicaset/media-service-58b99b67c5           Created pod: media-service-58b99b67c5-hbsqg
9s          Normal    ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-58b99b67c5 from 0 to 1
9s          Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-65c877b5d5 from 0 to 1
9s          Normal    Pulled              pod/nginx-thrift-54688f855b-hgd6d             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    Created             pod/nginx-thrift-54688f855b-hgd6d             Container created
9s          Normal    Started             pod/nginx-thrift-54688f855b-hgd6d             Container started
9s          Normal    SuccessfulCreate    replicaset/compose-post-service-65c877b5d5    Created pod: compose-post-service-65c877b5d5-lkz4g
9s          Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-54688f855b from 0 to 1
9s          Normal    Pulled              pod/user-timeline-service-74599c8b85-grk6x    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    Pulled              pod/text-service-8484df7957-wrt6c             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    Created             pod/text-service-8484df7957-wrt6c             Container created
9s          Normal    Created             pod/home-timeline-service-94b8d6d65-vfxcn     Container created
9s          Normal    SuccessfulCreate    replicaset/text-service-8484df7957            Created pod: text-service-8484df7957-wrt6c
9s          Normal    ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-8484df7957 from 0 to 1
9s          Normal    Started             pod/compose-post-service-65c877b5d5-lkz4g     Container started
9s          Normal    Pulled              pod/compose-post-service-65c877b5d5-lkz4g     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-f49cb54d5 from 0 to 1
9s          Normal    SuccessfulCreate    replicaset/user-service-f49cb54d5             Created pod: user-service-f49cb54d5-v7qx6
9s          Normal    SuccessfulCreate    replicaset/unique-id-service-7db7c754b5       Created pod: unique-id-service-7db7c754b5-khlhg
9s          Normal    ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-7db7c754b5 from 0 to 1
9s          Normal    Created             pod/compose-post-service-65c877b5d5-lkz4g     Container created
8s          Normal    Pulled              pod/user-service-f49cb54d5-v7qx6              Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Normal    Created             pod/user-service-f49cb54d5-v7qx6              Container created
8s          Normal    Started             pod/user-service-f49cb54d5-v7qx6              Container started
8s          Normal    Started             pod/unique-id-service-7db7c754b5-khlhg        Container started
8s          Normal    Created             pod/unique-id-service-7db7c754b5-khlhg        Container created
8s          Normal    Pulled              pod/unique-id-service-7db7c754b5-khlhg        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Warning   Unhealthy           pod/compose-post-service-65c877b5d5-lkz4g     Readiness probe failed: Get "http://192.168.82.210:8080/healthz": dial tcp 192.168.82.210:8080: connect: connection refused
8s          Normal    Started             pod/media-service-58b99b67c5-hbsqg            Container started
8s          Normal    Created             pod/media-service-58b99b67c5-hbsqg            Container created
8s          Normal    Pulled              pod/media-service-58b99b67c5-hbsqg            Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Warning   Unhealthy           pod/home-timeline-service-94b8d6d65-vfxcn     Readiness probe failed: Get "http://192.168.82.211:8080/healthz": dial tcp 192.168.82.211:8080: connect: connection refused
