request_id,status,latency_ms,experts,hot_expert,expert_popularity,cache_key,error
0,200,63.404144,"3,2",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-0,
1,200,53.798147,"0,4",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-1,
2,200,42.218244,"5,4",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-2,
3,200,43.023260,"0,2",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-3,
4,200,53.497161,"0,1",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-4,
5,200,43.751300,"1,3",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-5,
6,200,43.241121,"3,2",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-6,
7,200,44.727949,"0,1",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-7,
8,200,44.068608,"0,5",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-8,
9,200,46.074815,"0,1",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-9,
10,200,45.070494,"1,0",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-10,
11,200,44.113922,"0,2",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-11,
12,200,42.994405,"1,2",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-12,
13,200,42.850996,"0,3",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-13,
14,200,45.009901,"0,3",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-14,
15,200,44.878292,"5,0",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-15,
16,200,44.141805,"0,2",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-16,
17,200,45.738782,"1,3",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-17,
18,200,45.559053,"0,3",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-18,
19,200,44.423024,"2,3",0,0.464307;0.202101;0.124240;0.087970;0.067304;0.054078,prompt-19,
20,200,45.022032,"3,0",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-20,
21,200,43.374640,"5,0",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-21,
22,200,44.551737,"5,4",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-22,
23,200,43.282738,"5,1",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-23,
24,200,42.765795,"2,0",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-24,
25,200,41.348436,"0,5",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-25,
26,200,44.627661,"0,4",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-26,
27,200,43.523460,"5,0",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-27,
28,200,43.373298,"5,4",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-28,
29,200,52.876042,"3,0",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-29,
30,200,44.279384,"5,4",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-30,
31,200,41.486205,"5,2",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-31,
32,200,42.134305,"5,3",5,0.202101;0.124240;0.087970;0.067304;0.054078;0.464307,prompt-32,
