LAST SEEN   TYPE     REASON              OBJECT                             MESSAGE
8s          Normal   Scheduled           pod/expert-0-84f9464596-mkz74      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/expert-0-84f9464596-mkz74 to emu-worker-1
8s          Normal   Scheduled           pod/expert-3-7fcf9cd788-7p587      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/expert-3-7fcf9cd788-7p587 to emu-worker-3
8s          Normal   Scheduled           pod/expert-2-84b758f7d8-dz4w7      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/expert-2-84b758f7d8-dz4w7 to emu-worker-10
9s          Normal   Scheduled           pod/tokenizer-9b6769ddb-q5h7m      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/tokenizer-9b6769ddb-q5h7m to emu-worker-1
7s          Normal   Scheduled           pod/expert-4-64994445d4-ckgtc      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/expert-4-64994445d4-ckgtc to emu-worker-2
7s          Normal   Scheduled           pod/expert-5-5b8d6b6f76-5h9ps      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/expert-5-5b8d6b6f76-5h9ps to emu-worker-8
8s          Normal   Scheduled           pod/cache-589b7c46fb-j5q9v         Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/cache-589b7c46fb-j5q9v to emu-worker-4
8s          Normal   Scheduled           pod/aggregator-6df8c89f66-qk7h6    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/aggregator-6df8c89f66-qk7h6 to emu-worker-1
8s          Normal   Scheduled           pod/expert-1-6f9f65844d-9gqwq      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/expert-1-6f9f65844d-9gqwq to emu-worker-1
8s          Normal   Scheduled           pod/router-5cfcb749f8-9xrf2        Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/router-5cfcb749f8-9xrf2 to emu-worker-1
9s          Normal   Scheduled           pod/frontend-68849b855b-8wxgb      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-hda/frontend-68849b855b-8wxgb to emu-worker-1
10s         Normal   ScalingReplicaSet   deployment/router                  Scaled up replica set router-5cfcb749f8 from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/router-5cfcb749f8       Created pod: router-5cfcb749f8-9xrf2
10s         Normal   ScalingReplicaSet   deployment/frontend                Scaled up replica set frontend-68849b855b from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/frontend-68849b855b     Created pod: frontend-68849b855b-8wxgb
10s         Normal   ScalingReplicaSet   deployment/tokenizer               Scaled up replica set tokenizer-9b6769ddb from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/tokenizer-9b6769ddb     Created pod: tokenizer-9b6769ddb-q5h7m
9s          Normal   SuccessfulCreate    replicaset/expert-0-84f9464596     Created pod: expert-0-84f9464596-mkz74
9s          Normal   ScalingReplicaSet   deployment/expert-0                Scaled up replica set expert-0-84f9464596 from 0 to 1
9s          Normal   ScalingReplicaSet   deployment/expert-2                Scaled up replica set expert-2-84b758f7d8 from 0 to 1
9s          Normal   ScalingReplicaSet   deployment/aggregator              Scaled up replica set aggregator-6df8c89f66 from 0 to 1
9s          Normal   SuccessfulCreate    replicaset/aggregator-6df8c89f66   Created pod: aggregator-6df8c89f66-qk7h6
9s          Normal   SuccessfulCreate    replicaset/expert-1-6f9f65844d     Created pod: expert-1-6f9f65844d-9gqwq
9s          Normal   ScalingReplicaSet   deployment/expert-1                Scaled up replica set expert-1-6f9f65844d from 0 to 1
9s          Normal   ScalingReplicaSet   deployment/cache                   Scaled up replica set cache-589b7c46fb from 0 to 1
9s          Normal   ScalingReplicaSet   deployment/expert-3                Scaled up replica set expert-3-7fcf9cd788 from 0 to 1
9s          Normal   SuccessfulCreate    replicaset/expert-3-7fcf9cd788     Created pod: expert-3-7fcf9cd788-7p587
9s          Normal   SuccessfulCreate    replicaset/cache-589b7c46fb        Created pod: cache-589b7c46fb-j5q9v
9s          Normal   SuccessfulCreate    replicaset/expert-2-84b758f7d8     Created pod: expert-2-84b758f7d8-dz4w7
8s          Normal   ScalingReplicaSet   deployment/expert-5                Scaled up replica set expert-5-5b8d6b6f76 from 0 to 1
8s          Normal   SuccessfulCreate    replicaset/expert-5-5b8d6b6f76     Created pod: expert-5-5b8d6b6f76-5h9ps
8s          Normal   ScalingReplicaSet   deployment/expert-4                Scaled up replica set expert-4-64994445d4 from 0 to 1
8s          Normal   SuccessfulCreate    replicaset/expert-4-64994445d4     Created pod: expert-4-64994445d4-ckgtc
7s          Normal   Created             pod/cache-589b7c46fb-j5q9v         Container created
7s          Normal   Pulled              pod/cache-589b7c46fb-j5q9v         Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Pulled              pod/expert-2-84b758f7d8-dz4w7      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Started             pod/expert-3-7fcf9cd788-7p587      Container started
7s          Normal   Started             pod/cache-589b7c46fb-j5q9v         Container started
7s          Normal   Started             pod/frontend-68849b855b-8wxgb      Container started
7s          Normal   Created             pod/frontend-68849b855b-8wxgb      Container created
7s          Normal   Created             pod/expert-3-7fcf9cd788-7p587      Container created
7s          Normal   Pulled              pod/expert-3-7fcf9cd788-7p587      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Pulled              pod/frontend-68849b855b-8wxgb      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Started             pod/expert-0-84f9464596-mkz74      Container started
6s          Normal   Pulled              pod/expert-4-64994445d4-ckgtc      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Pulled              pod/aggregator-6df8c89f66-qk7h6    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Pulled              pod/expert-5-5b8d6b6f76-5h9ps      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Pulled              pod/expert-1-6f9f65844d-9gqwq      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Started             pod/expert-2-84b758f7d8-dz4w7      Container started
6s          Normal   Created             pod/expert-1-6f9f65844d-9gqwq      Container created
6s          Normal   Started             pod/expert-4-64994445d4-ckgtc      Container started
6s          Normal   Created             pod/expert-4-64994445d4-ckgtc      Container created
6s          Normal   Created             pod/expert-0-84f9464596-mkz74      Container created
