NAME                        READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-d87f74cb-cmj4p   1/1     Running   0          8s    192.168.65.15     emu-worker-1   <none>           <none>
cache-5bd7c6d8db-s74gr      1/1     Running   0          8s    192.168.99.238    emu-worker-6   <none>           <none>
expert-0-77db65857d-z56fv   1/1     Running   0          8s    192.168.65.63     emu-worker-1   <none>           <none>
expert-1-5d946df866-xm2nv   1/1     Running   0          8s    192.168.65.8      emu-worker-1   <none>           <none>
expert-2-6bf95ff4c4-zgt58   1/1     Running   0          8s    192.168.135.124   emu-worker-4   <none>           <none>
expert-3-57cb8c7c98-6llrx   1/1     Running   0          8s    192.168.173.167   emu-worker-8   <none>           <none>
expert-4-6db85b7454-wptzv   1/1     Running   0          8s    192.168.137.225   emu-worker-2   <none>           <none>
expert-5-6dfd96fff4-2ss5d   1/1     Running   0          7s    192.168.42.108    emu-worker-3   <none>           <none>
frontend-75f9d468b6-78n8p   1/1     Running   0          9s    192.168.65.5      emu-worker-1   <none>           <none>
router-7cbc66cf6d-qt85s     1/1     Running   0          8s    192.168.65.10     emu-worker-1   <none>           <none>
tokenizer-5ff86b976-gls94   1/1     Running   0          9s    192.168.65.6      emu-worker-1   <none>           <none>
