metric,value
mean_edge_jaccard_distance,0.00524846
mean_weighted_edge_distance,0.04746437
mean_hot_edge_rank_correlation,0.99940830
mean_graph_change_rate_per_s,0.47464399
mean_request_mix_entropy,2.17954390
mean_top3_hotspot_churn,0.00251256
mean_active_edge_count,9.43500000
mean_traffic_stress_gini,0.30562114
mean_traffic_stress_skew,-0.00501328
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01469027
mean_gda_total_time_ms,0.01469027
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.20373274
traffic_stress_latency_correlation,-0.29218336
kubernetes-default_mean_latency_ms,92.02021678
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,2.17954390
cga_mean_latency_ms,86.17231342
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,2.17954390
hda_mean_latency_ms,82.56087012
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,2.17954390
policy2_mean_latency_ms,84.62294679
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,2.17954390
policy3_mean_latency_ms,83.53691017
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,2.17954390
