step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
0,0.000,replay,0.000000,0.019346,0.019346,9,13,0
1,0.100,replay,0.000000,0.015660,0.015660,9,13,0
2,0.200,replay,0.000000,0.015529,0.015529,9,13,0
3,0.300,replay,0.000000,0.017332,0.017332,9,13,0
4,0.400,replay,0.000000,0.014066,0.014066,9,13,0
5,0.500,replay,0.000000,0.014237,0.014237,9,13,0
6,0.600,replay,0.000000,0.014567,0.014567,9,13,0
7,0.700,replay,0.000000,0.013525,0.013525,9,13,0
8,0.800,replay,0.000000,0.017253,0.017253,9,13,0
9,0.900,replay,0.000000,0.014026,0.014026,9,13,0
10,1.000,replay,0.000000,0.014176,0.014176,9,13,0
11,1.100,replay,0.000000,0.013446,0.013446,9,13,0
12,1.200,replay,0.000000,0.020008,0.020008,9,13,0
13,1.300,replay,0.000000,0.020508,0.020508,9,13,0
14,1.400,replay,0.000000,0.013716,0.013716,9,13,0
15,1.500,replay,0.000000,0.013084,0.013084,9,13,0
16,1.600,replay,0.000000,0.013355,0.013355,9,13,0
17,1.700,replay,0.000000,0.016611,0.016611,9,13,0
18,1.800,replay,0.000000,0.017041,0.017041,9,13,0
19,1.900,replay,0.000000,0.013906,0.013906,9,13,0
20,2.000,replay,0.000000,0.015348,0.015348,9,13,0
21,2.100,replay,0.000000,0.013986,0.013986,9,13,0
22,2.200,replay,0.000000,0.018135,0.018135,9,13,0
23,2.300,replay,0.000000,0.014396,0.014396,9,13,0
24,2.400,replay,0.000000,0.013505,0.013505,9,13,0
25,2.500,replay,0.000000,0.016862,0.016862,9,13,0
26,2.600,replay,0.000000,0.019907,0.019907,9,13,0
27,2.700,replay,0.000000,0.013396,0.013396,9,13,0
28,2.800,replay,0.000000,0.012774,0.012774,9,13,0
29,2.900,replay,0.000000,0.013375,0.013375,9,13,0
30,3.000,replay,0.000000,0.017232,0.017232,9,13,0
31,3.100,replay,0.000000,0.013244,0.013244,9,13,0
32,3.200,replay,0.000000,0.013185,0.013185,9,13,0
33,3.300,replay,0.000000,0.013445,0.013445,9,13,0
34,3.400,replay,0.000000,0.016571,0.016571,9,13,0
35,3.500,replay,0.000000,0.013735,0.013735,9,13,0
