metric,value
mean_edge_jaccard_distance,0.05415969
mean_weighted_edge_distance,0.12531175
mean_hot_edge_rank_correlation,0.93756729
mean_graph_change_rate_per_s,1.25311737
mean_request_mix_entropy,1.82778500
mean_top3_hotspot_churn,0.10200200
mean_active_edge_count,8.17000000
mean_traffic_stress_gini,0.25329456
mean_traffic_stress_skew,0.07005574
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01584932
mean_gda_total_time_ms,0.01584932
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.59678894
traffic_stress_latency_correlation,0.14305989
kubernetes-default_mean_latency_ms,87.84994673
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.82778500
cga_mean_latency_ms,82.66412758
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.82778500
hda_mean_latency_ms,79.05560604
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.82778500
policy2_mean_latency_ms,80.72868331
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,1.82778500
policy3_mean_latency_ms,79.89388965
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,1.82778500
