step,time_s,source,destination,weight
0,0.0,aggregator,cache,15.872280
0,0.0,expert-0,aggregator,72.237046
0,0.0,expert-1,aggregator,14.248703
0,0.0,expert-2,aggregator,5.428077
0,0.0,frontend,router,86.558446
0,0.0,frontend,tokenizer,61.574752
0,0.0,router,cache,5.088822
0,0.0,router,expert-0,80.282232
0,0.0,router,expert-1,15.944977
0,0.0,router,expert-2,6.106587
1,0.1,aggregator,cache,15.811564
1,0.1,expert-0,aggregator,71.960720
1,0.1,expert-1,aggregator,14.194198
1,0.1,expert-2,aggregator,5.407313
1,0.1,frontend,router,86.227337
1,0.1,frontend,tokenizer,61.339212
1,0.1,router,cache,5.069356
1,0.1,router,expert-0,79.975131
1,0.1,router,expert-1,15.883983
1,0.1,router,expert-2,6.083228
2,0.2,aggregator,cache,15.673278
2,0.2,expert-0,aggregator,71.331363
2,0.2,expert-1,aggregator,14.070058
2,0.2,expert-2,aggregator,5.360022
2,0.2,frontend,router,85.473207
2,0.2,frontend,tokenizer,60.802749
2,0.2,router,cache,5.025021
2,0.2,router,expert-0,79.275681
2,0.2,router,expert-1,15.745064
2,0.2,router,expert-2,6.030025
3,0.30000000000000004,aggregator,cache,16.232621
3,0.30000000000000004,expert-0,aggregator,73.877011
3,0.30000000000000004,expert-1,aggregator,14.572185
3,0.30000000000000004,expert-2,aggregator,5.551308
3,0.30000000000000004,frontend,router,88.523543
3,0.30000000000000004,frontend,tokenizer,62.972655
3,0.30000000000000004,router,cache,5.204352
3,0.30000000000000004,router,expert-0,82.104843
3,0.30000000000000004,router,expert-1,16.306969
3,0.30000000000000004,router,expert-2,6.245222
4,0.4,aggregator,cache,15.690210
4,0.4,expert-0,aggregator,71.408420
4,0.4,expert-1,aggregator,14.085257
4,0.4,expert-2,aggregator,5.365812
4,0.4,frontend,router,85.565540
4,0.4,frontend,tokenizer,60.868432
4,0.4,router,cache,5.030449
4,0.4,router,expert-0,79.361320
4,0.4,router,expert-1,15.762073
4,0.4,router,expert-2,6.036539
5,0.5,expert-0,aggregator,55.762742
5,0.5,expert-1,aggregator,13.684680
5,0.5,expert-2,aggregator,5.213211
5,0.5,frontend,router,72.240213
5,0.5,frontend,tokenizer,56.414393
5,0.5,router,expert-0,60.766494
