source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,200,1.000000,26.831226,48.197901
checkoutservice,cartservice,85,0.425000,3.634290,11.596403
checkoutservice,currencyservice,27,0.135000,0.725972,5.798202
checkoutservice,emailservice,27,0.135000,0.725972,5.798202
checkoutservice,paymentservice,75,0.375000,2.945143,10.146853
checkoutservice,productcatalogservice,27,0.135000,0.725972,5.798202
checkoutservice,shippingservice,68,0.340000,2.362141,8.697302
frontend,adservice,200,1.000000,18.426563,30.606576
frontend,cartservice,200,1.000000,25.057493,43.419413
frontend,checkoutservice,98,0.490000,4.910311,14.495504
frontend,currencyservice,200,1.000000,45.028427,68.178233
frontend,productcatalogservice,200,1.000000,55.910724,90.163511
frontend,recommendationservice,200,1.000000,29.405508,49.831507
recommendationservice,productcatalogservice,200,1.000000,39.207344,66.442010
