metric,value
mean_edge_jaccard_distance,0.00357859
mean_weighted_edge_distance,0.04449282
mean_hot_edge_rank_correlation,0.99257691
mean_graph_change_rate_per_s,0.04449283
mean_request_mix_entropy,1.25345764
mean_top3_hotspot_churn,0.00621242
mean_active_edge_count,7.87400000
mean_traffic_stress_gini,0.40335268
mean_traffic_stress_skew,0.70905174
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01054875
mean_gda_total_time_ms,0.01054875
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.53376708
traffic_stress_latency_correlation,-0.06376794
kubernetes-default_mean_latency_ms,83.24646004
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.25345764
cga_mean_latency_ms,78.15055684
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.25345764
hda_mean_latency_ms,74.90933918
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.25345764
