LAST SEEN   TYPE     REASON              OBJECT                             MESSAGE
9s          Normal   Scheduled           pod/expert-0-857fcff794-qndvx      Successfully assigned physical-moe-size5-20260521t112541z-policy1/expert-0-857fcff794-qndvx to emu-worker-1
8s          Normal   Scheduled           pod/expert-3-579b4bd87-vxdkq       Successfully assigned physical-moe-size5-20260521t112541z-policy1/expert-3-579b4bd87-vxdkq to emu-worker-2
8s          Normal   Scheduled           pod/expert-4-7c5cb44787-r4t44      Successfully assigned physical-moe-size5-20260521t112541z-policy1/expert-4-7c5cb44787-r4t44 to emu-worker-4
9s          Normal   Scheduled           pod/tokenizer-5dcd758896-2ggjw     Successfully assigned physical-moe-size5-20260521t112541z-policy1/tokenizer-5dcd758896-2ggjw to emu-worker-1
8s          Normal   Scheduled           pod/expert-5-6865bc578c-jpgwk      Successfully assigned physical-moe-size5-20260521t112541z-policy1/expert-5-6865bc578c-jpgwk to emu-worker-3
8s          Normal   Scheduled           pod/expert-2-85496599ff-nkvd7      Successfully assigned physical-moe-size5-20260521t112541z-policy1/expert-2-85496599ff-nkvd7 to emu-worker-4
9s          Normal   Scheduled           pod/cache-7f864cc8fd-sh7bx         Successfully assigned physical-moe-size5-20260521t112541z-policy1/cache-7f864cc8fd-sh7bx to emu-worker-1
9s          Normal   Scheduled           pod/aggregator-59b6b6c498-bf6tz    Successfully assigned physical-moe-size5-20260521t112541z-policy1/aggregator-59b6b6c498-bf6tz to emu-worker-1
9s          Normal   Scheduled           pod/expert-1-f6fc7d86-7kgt2        Successfully assigned physical-moe-size5-20260521t112541z-policy1/expert-1-f6fc7d86-7kgt2 to emu-worker-1
9s          Normal   Scheduled           pod/router-6896c8ff86-28nmr        Successfully assigned physical-moe-size5-20260521t112541z-policy1/router-6896c8ff86-28nmr to emu-worker-1
9s          Normal   Scheduled           pod/frontend-75fcb7d4f6-jn4j8      Successfully assigned physical-moe-size5-20260521t112541z-policy1/frontend-75fcb7d4f6-jn4j8 to emu-worker-1
10s         Normal   ScalingReplicaSet   deployment/aggregator              Scaled up replica set aggregator-59b6b6c498 from 0 to 1
10s         Normal   ScalingReplicaSet   deployment/cache                   Scaled up replica set cache-7f864cc8fd from 0 to 1
10s         Normal   ScalingReplicaSet   deployment/frontend                Scaled up replica set frontend-75fcb7d4f6 from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/frontend-75fcb7d4f6     Created pod: frontend-75fcb7d4f6-jn4j8
10s         Normal   SuccessfulCreate    replicaset/cache-7f864cc8fd        Created pod: cache-7f864cc8fd-sh7bx
10s         Normal   SuccessfulCreate    replicaset/expert-0-857fcff794     Created pod: expert-0-857fcff794-qndvx
10s         Normal   ScalingReplicaSet   deployment/expert-0                Scaled up replica set expert-0-857fcff794 from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/router-6896c8ff86       Created pod: router-6896c8ff86-28nmr
10s         Normal   ScalingReplicaSet   deployment/router                  Scaled up replica set router-6896c8ff86 from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/aggregator-59b6b6c498   Created pod: aggregator-59b6b6c498-bf6tz
10s         Normal   SuccessfulCreate    replicaset/tokenizer-5dcd758896    Created pod: tokenizer-5dcd758896-2ggjw
10s         Normal   ScalingReplicaSet   deployment/tokenizer               Scaled up replica set tokenizer-5dcd758896 from 0 to 1
9s          Normal   ScalingReplicaSet   deployment/expert-5                Scaled up replica set expert-5-6865bc578c from 0 to 1
