run_id,metric,unit,scale10-kubernetes,scale10-policy1,scale20-kubernetes,scale20-policy1,scale30-kubernetes,scale30-policy1,scale45-kubernetes,scale45-policy1,scale5-kubernetes,scale5-policy1,sources
physical-social-scale-series-20260523T183735Z,latency_p50_ms,ms,21.173,40.264,66.804,72.621,41.680,74.293,74.042,59.792,33.362,36.773,scale10-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale10-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale20-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale20-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale30-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale30-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale45-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale45-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale5-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale5-policy1:processed/physical_social_metrics.json#p50_latency_ms
physical-social-scale-series-20260523T183735Z,latency_p95_ms,ms,80.292,93.044,119.17,123.63,94.031,161.07,1047.19,113.48,95.958,85.955,scale10-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale10-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale20-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale20-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale30-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale30-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale45-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale45-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale5-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale5-policy1:processed/physical_social_metrics.json#p95_latency_ms
physical-social-scale-series-20260523T183735Z,latency_p99_ms,ms,83.596,95.676,159.43,163.66,94.667,172.18,1051.90,117.52,99.830,96.108,scale10-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale10-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale20-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale20-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale30-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale30-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale45-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale45-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale5-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale5-policy1:processed/physical_social_metrics.json#p99_latency_ms
physical-social-scale-series-20260523T183735Z,throughput_rps,requests/s,197.63,175.92,120.67,106.74,167.22,103.89,52.905,130.80,152.84,188.35,scale10-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale10-policy1:processed/physical_social_metrics.json#throughput_rps; scale20-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale20-policy1:processed/physical_social_metrics.json#throughput_rps; scale30-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale30-policy1:processed/physical_social_metrics.json#throughput_rps; scale45-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale45-policy1:processed/physical_social_metrics.json#throughput_rps; scale5-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale5-policy1:processed/physical_social_metrics.json#throughput_rps
physical-social-scale-series-20260523T183735Z,sla_violations,count,0.0000,0.0000,4.0000,3.0000,0.0000,5.0000,9.0000,1.0000,0.0000,0.0000,scale10-kubernetes:processed/physical_social_metrics.json#sla_violations; scale10-policy1:processed/physical_social_metrics.json#sla_violations; scale20-kubernetes:processed/physical_social_metrics.json#sla_violations; scale20-policy1:processed/physical_social_metrics.json#sla_violations; scale30-kubernetes:processed/physical_social_metrics.json#sla_violations; scale30-policy1:processed/physical_social_metrics.json#sla_violations; scale45-kubernetes:processed/physical_social_metrics.json#sla_violations; scale45-policy1:processed/physical_social_metrics.json#sla_violations; scale5-kubernetes:processed/physical_social_metrics.json#sla_violations; scale5-policy1:processed/physical_social_metrics.json#sla_violations
physical-social-scale-series-20260523T183735Z,sla_violation_rate,ratio,0.0000,0.0000,0.0444,0.0333,0.0000,0.0556,0.1000,0.0111,0.0000,0.0000,scale10-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale10-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale20-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale20-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale30-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale30-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale45-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale45-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale5-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale5-policy1:processed/physical_social_metrics.json#sla_violation_rate
physical-social-scale-series-20260523T183735Z,scheduler_decision_time_ms,ms,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,scale10-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale10-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale20-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale20-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale30-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale30-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale45-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale45-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale5-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale5-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms
physical-social-scale-series-20260523T183735Z,gda_build_time_ms,ms,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,scale10-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale10-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale20-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale20-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale30-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale30-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale45-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale45-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale5-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale5-policy1:processed/physical_social_metrics.json#gda_build_time_ms
physical-social-scale-series-20260523T183735Z,ndm_injection_time_ms,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
physical-social-scale-series-20260523T183735Z,cpu_overhead_pct,percent,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
