NAME                         READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-fbbc99d5d-zl5q8   1/1     Running   0          4s    192.168.137.237   emu-worker-2    <none>           <none>
cache-5f7ffd48cd-ztw6m       1/1     Running   0          3s    192.168.173.187   emu-worker-8    <none>           <none>
expert-0-db8b5964b-zxz7p     1/1     Running   0          3s    192.168.99.199    emu-worker-6    <none>           <none>
expert-1-6ddc9944dd-wr68z    1/1     Running   0          3s    192.168.222.22    emu-worker-7    <none>           <none>
expert-2-5f7b9459c8-zwdxz    1/1     Running   0          3s    192.168.71.119    emu-worker-9    <none>           <none>
expert-3-65f468c4f6-684bn    1/1     Running   0          3s    192.168.137.242   emu-worker-2    <none>           <none>
expert-4-7c66769978-6tr52    1/1     Running   0          3s    192.168.65.21     emu-worker-1    <none>           <none>
expert-5-84b844fbd-mzhzb     1/1     Running   0          3s    192.168.173.190   emu-worker-8    <none>           <none>
frontend-7844cd5db8-kwdq8    1/1     Running   0          4s    192.168.99.195    emu-worker-6    <none>           <none>
router-6bc4b4549d-jsqtb      1/1     Running   0          4s    192.168.82.248    emu-worker-10   <none>           <none>
tokenizer-5b47bc5488-75t4s   1/1     Running   0          4s    192.168.71.116    emu-worker-9    <none>           <none>
